Name,Chain,github_link,project_name,is_deployed_on_bsc,reason,evidence
Ultiverse,bnb-chain,https://github.com/ultiverse-io/,https://github.com/ultiverse-io/ultiverse-auth-demo-web.git,TRUE,"The project contains explicit references to Binance Smart Chain (BSC) and includes configurations that suggest deployment on the BSC network. The presence of chain IDs associated with BSC (56 for mainnet and 97 for testnet) further supports this. Additionally, the project utilizes libraries and components that are compatible with BSC, indicating that it is designed to operate on this blockchain.","{'bnb_references': ['chain_id: 56 in libs/auth/utils/particle.ts', 'chain_id: 97 in libs/auth/utils/particle.ts', 'BSC mentioned in the context of wallet support in libs/auth/utils/particle.ts'], 'contract_structure': 'The project includes a JSON ABI file (config/abi.json) which suggests the presence of a smart contract. However, there are no Solidity files or deployment scripts present in the repository, which are typically required for a complete contract structure.', 'deployment_evidence': 'The project references a testnet API endpoint (https://openapi-testnet.ultiverse.io) which indicates that it is set up for deployment on a testnet that is likely associated with BSC. The use of chain IDs 56 and 97 indicates configurations for both mainnet and testnet deployments.', 'verification': 'There are no explicit verification files or addresses provided in the repository. However, the presence of an ABI file suggests that the contract may be verified on a blockchain explorer once deployed.', 'contract_addresses': ['0x01473449eccc0D33c49fDcBDee8f1FE8fd2B8F18 (test contract address mentioned in components/page.tsx)'], 'token_names': []}"
Orbofi,bnb-chain,https://github.com/Orbofi,https://github.com/Orbofi/Orbofi-Swap.git,TRUE,"The project appears to be deployed on the Binance Smart Chain (BSC) due to the use of Uniswap V2-like contracts, which are commonly adapted for BSC. The presence of the OrboSwap DEX and references to liquidity pools and token swaps strongly suggest a BSC deployment. Additionally, the use of Solidity version 0.6.12 is compatible with BSC.","{'bnb_references': [], 'contract_structure': 'The repository contains a well-structured set of Solidity smart contracts, including DEX contracts, token contracts, and utility libraries. The presence of a Hardhat configuration file indicates that the project is set up for deployment and testing in a JavaScript environment, which is typical for Ethereum-compatible chains like BSC.', 'deployment_evidence': 'While there are no explicit deployment scripts targeting BSC or specific network configurations in the provided files, the use of Uniswap V2-like contracts and the OrboSwap DEX strongly imply that the project is intended for deployment on BSC. The absence of Ethereum-specific references further supports this.', 'verification': 'There are no verification files or addresses provided in the repository. However, the project structure suggests that it could be verified on BSCScan if deployed.', 'contract_addresses': [], 'token_names': ['OrboToken', 'OSLP']}"
Orbofi,bnb-chain,https://github.com/Orbofi,https://github.com/Orbofi/Orbofi-NFT-minting-contract-BNFT-DEX.git,TRUE,"The project is configured for deployment on the Binance Smart Chain (BSC) with specific network settings and contract structures that align with BSC standards. The presence of BNB references, deployment configurations, and contract structures indicates readiness for BSC deployment.","{'bnb_references': ['withdrawBNB function in contracts indicates BNB usage', 'MINT_PRICE is set in ether, which is compatible with BNB'], 'contract_structure': 'The repository contains valid Solidity smart contracts for NFTs and ERC20 tokens, along with deployment scripts and testing files, indicating a well-structured project.', 'deployment_evidence': ""The 'brownie-config.yaml' file includes configurations for 'bsc-main' and 'bsc-test' networks with specific launchpad addresses, indicating deployment readiness on BSC."", 'verification': ""The configuration file specifies 'verify: True' for both 'bsc-test' and 'bsc-main', indicating intent to verify contracts on BSC."", 'contract_addresses': ['0xd73b53cBe6A5FE32Ae4aE475d4EA9307bD7aAAfA (Launchpad address)', '0x64eF5f4145A77EA9091DA00eb5f5B865eB27B5D2 (BSC Test launchpad)', '0x190449C9586a73dA40A839e875Ff55c853dBc2f8 (BSC Main launchpad)'], 'token_names': ['TestBUSD (ERC20 token)', 'Test NFT (NFT contract)']}"
HODL,bnb-chain,https://github.com/HODL-org,https://github.com/HODL-org/contract.git,TRUE,"The project is deployed on the Binance Smart Chain (BSC) as evidenced by the use of PancakeSwap, which is a decentralized exchange (DEX) on BSC, and the presence of BNB-related functionalities in the smart contracts.","{'bnb_references': ['PancakeSwap router address (0x10ED43C718714eb63d5aA57B78B54704E256024E) is a known BSC address.', 'The contract includes mechanisms for BNB rewards and interactions with BNB, indicating it operates on the BSC.'], 'contract_structure': 'The repository contains multiple Solidity files that define the smart contract structure, including ownership management, tokenomics, and reward distribution mechanisms. It follows a modular architecture with upgradeable contracts.', 'deployment_evidence': 'The presence of the PancakeSwap router and liquidity pair addresses indicates that the contract is intended for deployment on the BSC mainnet.', 'verification': 'There are no explicit verification files or addresses mentioned in the provided files, but the structure suggests that the contracts are designed for deployment and potential verification on BSC.', 'contract_addresses': ['PancakeSwap router address: 0x10ED43C718714eb63d5aA57B78B54704E256024E', 'Pancake pair address: 0xC5c4F99423DfD4D2b73D863aEe50750468e45C19'], 'token_names': ['HODL']}"
Aegis,bnb-chain,https://github.com/Aegis-im,https://github.com/Aegis-im/aegis-contracts.git,TRUE,"The project is explicitly configured for deployment on the Binance Smart Chain (BSC) with references to the BSC mainnet and specific contract addresses associated with BSC. The configuration files and deployment scripts indicate that the project is set up to interact with the BSC network, including the use of BSC-specific RPC URLs and contract addresses.","{'bnb_references': ['bnbMainnet', 'chainId: 56', 'https://bscscan.com', '0xAB3dBcD9B096C3fF76275038bf58eAC10D22C61f', '0xB9f1E8417ABaedF6Fd838212267cA8260c4ca9da', '0x93eFAA2d2f6c3600d794233ed7E751d086E5B75E', '0x588FD039cAdc77ec85d25a072582624CA8d8cF15', '0x4274cD7277C7bb0806Bd5FE84b9aDAE466a8DA0a'], 'contract_structure': 'The repository contains multiple Solidity smart contracts, deployment scripts, and configuration files structured for a Hardhat environment. Contracts include YUSD, AegisMinting, AegisConfig, and others, indicating a well-organized project.', 'deployment_evidence': ""The networks.json file contains a section for 'bnbMainnet' with specific contract addresses and RPC URLs for deployment on the BSC mainnet. The presence of deployment scripts targeting BSC further supports this."", 'verification': 'The verification guide in the repository indicates steps for verifying contracts on BSCScan, suggesting that the contracts are intended to be deployed and verified on the BSC network.', 'contract_addresses': ['0xAB3dBcD9B096C3fF76275038bf58eAC10D22C61f', '0xB9f1E8417ABaedF6Fd838212267cA8260c4ca9da', '0x93eFAA2d2f6c3600d794233ed7E751d086E5B75E', '0x588FD039cAdc77ec85d25a072582624CA8d8cF15', '0x4274cD7277C7bb0806Bd5FE84b9aDAE466a8DA0a'], 'token_names': ['YUSD', 'sYUSD']}"
ChainGPT,bnb-chain,https://github.com/ChainGPT-org/,https://github.com/ChainGPT-org/CGPT_Token.git,TRUE,"The project is explicitly stated to be deployed on the Binance Smart Chain (BSC) in the documentation. The contract follows the ERC20/BEP20 standard, which is compatible with BSC. Additionally, the contract structure is valid, and there are references to BSC in the README file.","{'bnb_references': ['Binance Smart Chain', 'BEP20 standard', 'Network: Binance Smart Chain (BEP20)'], 'contract_structure': 'The contract is structured correctly with Solidity files, imports from OpenZeppelin, and follows the ERC20 standard. It includes a constructor for minting tokens and implements ownership functionalities.', 'deployment_evidence': 'The README file mentions that the contract can be used for any type of transactions on the BSC blockchain, indicating deployment on BSC.', 'verification': 'The README includes a link to a security audit report from Certik, which suggests that the contract has undergone verification processes.', 'contract_addresses': [], 'token_names': ['ChainGPT', 'CGPT']}"
ChainGPT,bnb-chain,https://github.com/ChainGPT-org/,https://github.com/ChainGPT-org/lhd-config.git,TRUE,"The project is explicitly configured for deployment on the Binance Smart Chain (BSC), as evidenced by the presence of chainId 56 in multiple contract address entries. Additionally, the project is associated with ApeSwap, which operates on the BSC ecosystem, further supporting the deployment claim.","{'bnb_references': [""chainId: '56' in multiple token addresses"", 'References to ApeSwap, which is a BSC-based platform'], 'contract_structure': 'The repository contains TypeScript files that define the structure of token assets, including their addresses and metadata. While there are no Solidity files present, the structure is designed to manage token configurations for BSC.', 'deployment_evidence': ""The presence of token addresses with chainId '56' indicates that the contracts are intended for deployment on the BSC mainnet. The configuration files also suggest that the project is set up to interact with BSC."", 'verification': 'The repository includes a section for known owners and verified assets, indicating a level of verification for the tokens listed. However, there are no explicit verification files or documentation provided.', 'contract_addresses': ['0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95', '0x9840652DC04fb9db2C43853633f0F62BE6f00f98', '0x25931894a86D47441213199621F1F2994e1c39Aa'], 'token_names': ['ApeSwap BANANA', 'ChainGPT']}"
ChainGPT,bnb-chain,https://github.com/ChainGPT-org/,https://github.com/ChainGPT-org/WBAI_Token.git,TRUE,"The project is explicitly stated to be deployed on the Binance Smart Chain (BSC) as indicated in the `readme.md` file. The token is defined as a BEP20 token, which is the standard for tokens on the BSC. Additionally, the contract structure adheres to the ERC20 standard, which is compatible with BSC.","{'bnb_references': ['Network: Binance Smart Chain (BEP20)'], 'contract_structure': 'The project contains a valid Solidity smart contract structure with necessary imports from OpenZeppelin for ERC20 functionality, ownership management, and burnable tokens. The main contract `WhiteBridge` is defined correctly with a constructor that mints tokens.', 'deployment_evidence': 'The `readme.md` file mentions the contract address for the deployed token, indicating that it has been deployed on the Binance Smart Chain.', 'verification': 'There are no explicit verification files mentioned in the provided documents, but the presence of a contract address suggests that it may be verified on a block explorer for BSC.', 'contract_addresses': ['0x635d44F246156ed1080CB470877256c847673f19'], 'token_names': ['WhiteBridge', 'WBAI']}"
Mind Network,bnb-chain,https://github.com/mind-network,https://github.com/mind-network/mind-datapack-typescript.git,TRUE,"The project demonstrates clear integration with the BNB Chain (formerly Binance Smart Chain) through various references and SDKs specifically designed for BNB Chain interactions. The presence of the '@bnb-chain/greenfield-chain-sdk' and related functionalities indicates that the project is built to operate on the BNB Chain ecosystem. Additionally, the use of MetaMask for wallet interactions and the connection to the Greenfield Testnet further solidify its deployment on BSC.","{'bnb_references': ['@bnb-chain/greenfield-chain-sdk', '@bnb-chain/greenfiled-file-handle', 'GREEN_CHAIN_ID = 5600', ""GREENFIELD_RPC_URL = 'https://gnfd-testnet-fullnode-tendermint-us.bnbchain.org'""], 'contract_structure': 'The repository does not contain Solidity files or traditional smart contract structures, but it does include TypeScript files that interact with BNB Chain SDKs, indicating that it is designed to work with smart contracts on the BNB Chain.', 'deployment_evidence': ""The presence of the Greenfield SDK and the connection to the Greenfield Testnet suggests that the project is set up for deployment on the BNB Chain. The code includes functions for connecting to MetaMask and interacting with the BNB Chain's infrastructure."", 'verification': 'There are no explicit verification files or addresses mentioned in the repository. However, the integration with the Greenfield SDK implies that the project may have mechanisms for verifying transactions on the BNB Chain.', 'contract_addresses': [], 'token_names': []}"
Mind Network,bnb-chain,https://github.com/mind-network,https://github.com/mind-network/mind-agent-mcp-server.git,TRUE,"The project is designed to interact with the Binance Smart Chain (BSC) and includes references to BSC-specific configurations, such as chain IDs and RPC URLs. The presence of specific functions and tools for interacting with the BSC ecosystem, including wallet connections and contract interactions, further supports this.","{'bnb_references': ['Valid chains: Mind Network Mainnet(228), BNB Smart Chain(56), Mind Network Testnet(192940)', 'The `mindnet` configuration includes chain ID 228, which is associated with the Mind Network Mainnet, and chain ID 56 is explicitly mentioned as BNB Smart Chain.'], 'contract_structure': 'The project includes smart contract ABIs and addresses for interacting with the Ethereum-compatible chains, including BSC. The structure is consistent with a typical deployment setup for Ethereum-based projects, utilizing tools like `wagmi` and `fastmcp` for managing blockchain interactions.', 'deployment_evidence': 'The `AGENT_ADDRESS` and `FHE_TOKEN_ADDRESS` mappings include addresses for both the Mind Network and BSC, indicating that the project is set up for deployment on these networks. The presence of functions that interact with these addresses suggests readiness for deployment.', 'verification': 'There are no explicit verification files mentioned in the provided code, but the presence of contract ABIs and structured interactions implies that verification would typically follow deployment.', 'contract_addresses': ['0x33581174971727Cf00cf4c89afb9A0aacF5BE006 (FHE Token on Mind Network Testnet)', '0x0f90dc4471C2A329d17726aA0D2E76320c2C0EFE (FHE Token on Mind Network Mainnet)', '0x786036BB4af57320EC9830c398416ef5194296a7 (FHE Token on BNB Smart Chain)', '0xdeD96288c99145da4800f55355A2466f6238fBBE (Agent on Mind Network Mainnet)'], 'token_names': ['mind native token', 'FHE']}"
